id,name,level,state,sector,demographics,gender,budget,description,benefits,eligibility,source_url
SCH_011,Mahatma Jyotirao Phule Jan Arogya Yojana (MJPJAY),State,Maharashtra,Healthcare,"Middle Class, Laborer, Poor",All,2800.0,A flagship health insurance scheme of the Government of Maharashtra providing cashless quality medical care for identified specialty services.,Cashless medical insurance cover of up to Rs. 5 Lakhs per family per year in empanelled network hospitals.,"Families holding Yellow, Orange, or Antyodaya ration cards in Maharashtra.",https://www.jeevandayee.gov.in/
SCH_012,Namo Shetkari Mahasanman Nidhi Scheme,State,Maharashtra,Agriculture,"Farmer, Rural",All,6900.0,"State scheme matching the central government's PM-KISAN, providing additional financial support to farmers in Maharashtra.","Additional financial aid of Rs. 6,000 per year paid in three installments of Rs. 2,000.",All landholding farmers in Maharashtra who are already beneficiaries of PM-KISAN.,https://krishi.maharashtra.gov.in/
SCH_013,Gruha Lakshmi Scheme,State,Karnataka,Social Welfare & Finance,"Women, Middle Class, Poor",Female,28600.0,One of Karnataka's welfare guarantees providing monthly cash assistance to the female head of households.,"Rs. 2,000 per month direct benefit transfer to the bank account of the designated female head of the family.","Women heads of households registered under BPL, APL, or Antyodaya ration cards (excluding taxpayers/GST registrants).",https://sevasindhu.karnataka.gov.in/
SCH_014,Yuva Nidhi Scheme,State,Karnataka,Jobs & Skill Development,"Student, Youth, Unemployed",All,250.0,Unemployment assistance and skill training support program for graduates and diploma holders in Karnataka.,"Rs. 3,000/month for graduates and Rs. 1,500/month for diploma holders for up to 24 months, along with free skill training.",Domiciles of Karnataka who graduated in the academic year 2022-2023 or later and remained unemployed for 6 months.,https://sevasindhugs.karnataka.gov.in/
SCH_015,Gruha Jyothi Scheme,State,Karnataka,Housing & Infrastructure,"Middle Class, Laborer, Poor",All,9600.0,Welfare scheme aimed at reducing the electricity bill burden of households in Karnataka by providing free electricity.,Up to 200 units of free electricity per month for domestic electricity connections.,Domestic consumers in Karnataka whose average consumption is below 200 units per month.,https://sevasindhu.karnataka.gov.in/
SCH_016,Kanya Sumangala Yojana,State,Uttar Pradesh,Social Welfare & Education,"Student, Children",Female,1200.0,A conditional cash transfer scheme providing financial assistance to girls in UP at various stages from birth to graduation.,"Total financial assistance of Rs. 25,000 (recently hiked) in 6 stages linked to vaccination, school admission, and graduation.","Girl child born in UP, family annual income below Rs. 3 Lakhs, maximum of two daughters per family.",https://mksy.up.gov.in/
SCH_017,Mukhyamantri Abhyudaya Yojana,State,Uttar Pradesh,Education,"Student, Youth",All,50.0,"Free coaching platform for students preparing for competitive exams like UPSC, JEE, NEET, NDA, CDS, and bank exams.","Free physical and virtual coaching, access to study materials, guidance from IAS/IPS officers, and free tablets for selected students.",Residents of Uttar Pradesh preparing for competitive exams; preference to economically weaker sections.,http://abhyuday.up.gov.in/
SCH_018,Pudhumai Penn Scheme,State,Tamil Nadu,Education,"Student, Youth",Female,370.0,"Moovalur Ramamirtham Ammaiyar Higher Education Assurance Scheme, aiming to enhance enrollment of girl students from government schools into higher education.","Monthly cash incentive of Rs. 1,000 credited directly into the bank accounts of girl students pursuing degrees/diplomas.",Girl students of Tamil Nadu government schools from Classes 6 to 12 who join higher education courses.,https://www.pudhumaipenn.tn.gov.in/
SCH_019,Makkalai Thedi Maruthuvam,State,Tamil Nadu,Healthcare,"Middle Class, Laborer, Elderly",All,400.0,"A community-based healthcare delivery scheme that takes medical services directly to citizens' doorsteps, focusing on non-communicable diseases.","Free home delivery of medicines for hypertension, diabetes, home-based physiotherapy, and screening services.","All residents of Tamil Nadu, particularly elderly and patients with chronic health conditions.",https://www.tnhealth.tn.gov.in/
SCH_020,Delhi Ladli Scheme,State,Delhi,Social Welfare & Education,"Student, Children",Female,100.0,"A scheme designed to empower girls by funding their birth registration, school enrollment, and milestone financial incentives.","Financial cash deposits at different levels of education, maturing to a substantial corpus when the girl reaches 18.","Girl children born in Delhi, family residing in Delhi for last 3 years, annual family income below Rs. 1 Lakh.",https://wcddel.in/
SCH_021,Mukhyamantri Free Wi-Fi Scheme,State,Delhi,Housing & Infrastructure,"Student, Middle Class, Youth",All,75.0,State initiative to set up free public Wi-Fi hotspots across the National Capital Territory of Delhi.,15 GB free internet data per month per user at high speeds at thousands of hotspots near metro stations and bus stands.,All residents and visitors in Delhi with active mobile connections.,https://delhi.gov.in/
SCR_803,www.india.gov.in/my Scheme,Central,All,Healthcare,Middle Class,All,803.0,"This section provides detailed information on various government schemes designed to benefit Indian citizens. Discover a range of programmes aimed at enhancing social welfare, economic development, health, education, and more. Access essential details about eligibility, application processes, and the specific advantages offered by each scheme, empowering you to take full advantage of the ...",Benefits include assistance related to healthcare. Access information via the link.,Target beneficiaries: Middle Class. Details on official site.,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.india.gov.in%2Fmy%2Dgovernment%2Fschemes&rut=728641e681bc2a0209a91e405326f07f4fc2ac92c016e88950aa379b9d3d818c
SCR_3493,services.india.gov.in/service/service_url_redirect?id=MjQ1NzU= Scheme,Central,All,Social Welfare,Middle Class,All,4193.0,CGHS Welcome to CGHS Beneficiary Login Please Sign-In to Access Your Account,Benefits include assistance related to social welfare. Access information via the link.,Target beneficiaries: Middle Class. Details on official site.,//duckduckgo.com/l/?uddg=https%3A%2F%2Fservices.india.gov.in%2Fservice%2Fservice_url_redirect%3Fid%3DMjQ1NzU%3D&rut=d33c4725dbbfaf85d34f31c80482577bef50dd9da8dd3d54fcb45fd034678ef1
SCR_8490,services.india.gov.in/service/ministry_services?cmd_id=1338&ln=en&page_no=3 Scheme,Central,All,Healthcare,Middle Class,All,4090.0,Ministry of Health & Family Welfare has been entrusted with the responsibility to hold on-line counseling for 50% All India Quota Post-Graduate Medical and Dental seats and also as per the notification issued by the MCI for common counselling.,Benefits include assistance related to healthcare. Access information via the link.,Target beneficiaries: Middle Class. Details on official site.,//duckduckgo.com/l/?uddg=https%3A%2F%2Fservices.india.gov.in%2Fservice%2Fministry_services%3Fcmd_id%3D1338%26ln%3Den%26page_no%3D3&rut=a89b8236b4a3891588ae4e2811b24e64a2a23d303e1f4cfca1ea79a0c9328c4b
SCR_6077,services.india.gov.in/service/listing?cat_id=123&ln=en Scheme,Central,All,Financial Services,Women,Female,2377.0,"Residents of Madhya Pradesh can check their eligibility for various social security pension schemes through the state's online portal. The service provides criteria such as age, economic status, and other requirements, helping applicants understand their qualification for benefits like pensions for women, the elderly, and those living below the poverty line.",Benefits include assistance related to financial services. Access information via the link.,Target beneficiaries: Women. Details on official site.,//duckduckgo.com/l/?uddg=https%3A%2F%2Fservices.india.gov.in%2Fservice%2Flisting%3Fcat_id%3D123%26ln%3Den&rut=e70041d756dd48c1e5b7ec5e0a5198b0adf9ac4575830d38cc1dc8190649dd32
SCR_9391,www.india.gov.in/website Scheme,Central,All,Healthcare,Student,All,4191.0,"The objectives of the scheme is to impart not only Foundational Literacy and Numeracy but also to cover other components which are necessary for a citizen of 21 st century such as Critical Life Skills (including financial literacy, digital literacy, commercial skills, health care and awareness, child care and education, and family welfare ...",Benefits include assistance related to healthcare. Access information via the link.,Target beneficiaries: Student. Details on official site.,//duckduckgo.com/l/?uddg=https%3A%2F%2Fwww.india.gov.in%2Fwebsite%2Dpm%2Dschools%2Drising%2Dindia%2Dpm%2Dshri%3Fpage%3D13&rut=756c28eab330a380607f77caee47b3d50b1f54155357750b763251ddf5d3b987
SCR_2351,services.india.gov.in/service/detail/search Scheme,Central,All,Education,Student,All,4151.0,"Gujarat has various government scholarship schemes aimed at supporting students from different backgrounds and academic levels. These schemes offer financial assistance for various purposes, including tuition fees, living expenses, and research activities.",Benefits include assistance related to education. Access information via the link.,Target beneficiaries: Student. Details on official site.,//duckduckgo.com/l/?uddg=https%3A%2F%2Fservices.india.gov.in%2Fservice%2Fdetail%2Fsearch%2Dgovernment%2Dscholarship%2Dscheme%2Dgujarat&rut=c3561c67df41701a638c8cd9bb44dbf67859dd78c56c609f9b3a73f1064249ad
SCR_9936,services.india.gov.in/service/detail/online Scheme,Central,All,Education,"Student, Farmer, Women",Female,1236.0,"The National Portal of India provides single-window access to information and services offered by the government at all levels. It focuses on unifying information collated from platforms and portals, packaged and served based on user segments such as farmers, students, women, youth, etc., as well as sectoral views. The portal is built using the latest technology, featuring a user-friendly ...",Benefits include assistance related to education. Access information via the link.,"Target beneficiaries: Student, Farmer, Women. Details on official site.",//duckduckgo.com/l/?uddg=https%3A%2F%2Fservices.india.gov.in%2Fservice%2Fdetail%2Fonline%2Dapplication%2Dfor%2Dscholarship%2Dgujarat&rut=f9a1bd6a1299c2d38ba4e47707f8d311660408e6568f95b9e5d74d66b0e30e16
SCR_1553,services.india.gov.in/service/detail/गुजरात Scheme,Central,All,Social Welfare,Middle Class,All,1953.0,कक्षा 1 से उच्च शिक्षा के सभी वर्गों के सभी छात्रों को डिजिटल गुजरात पोर्टल के माध्यम से छात्रवृत्ति प्रदान की जाती है। डीबीटी के ...,Benefits include assistance related to social welfare. Access information via the link.,Target beneficiaries: Middle Class. Details on official site.,//duckduckgo.com/l/?uddg=https%3A%2F%2Fservices.india.gov.in%2Fservice%2Fdetail%2F%25E0%25A4%2597%25E0%25A5%2581%25E0%25A4%259C%25E0%25A4%25B0%25E0%25A4%25BE%25E0%25A4%25A4%2D%25E0%25A4%25AE%25E0%25A5%2587%25E0%25A4%2582%2D%25E0%25A4%259B%25E0%25A4%25BE%25E0%25A4%25A4%25E0%25A5%258D%25E0%25A4%25B0%25E0%25A4%25B5%25E0%25A5%2583%25E0%25A4%25A4%25E0%25A5%258D%25E0%25A4%25A4%25E0%25A4%25BF%2D%25E0%25A4%2595%25E0%25A5%2587%2D%25E0%25A4%25B2%25E0%25A4%25BF%25E0%25A4%258F%2D%25E0%25A4%2591%25E0%25A4%25A8%25E0%25A4%25B2%25E0%25A4%25BE%25E0%25A4%2587%25E0%25A4%25A8%2D%25E0%25A4%2586%25E0%25A4%25B5%25E0%25A5%2587%25E0%25A4%25A6%25E0%25A4%25A8&rut=4b5afe3960f5b21225023d0ae5470a3c5041e34da8bc2636c236da7b1cdc6e32
SCR_6343,services.india.gov.in/service/listing?ln=en&cat_id=63&sort=hit_count@desc&page_no=2 Scheme,Central,All,Education,Student,All,4543.0,"All students from standard 1 to all streams of Higher Education are provided scholarship through Digital Gujarat Portal. For DBT, this portal is integrated with IFMS. For General Category student, subject to eligibility, the scholarship under Mukhyamantri Yuva Svavlamban Yojna is paid through https://mysy.guj.nic.in. This service is available for specific period of time when scholarship ...",Benefits include assistance related to education. Access information via the link.,Target beneficiaries: Student. Details on official site.,//duckduckgo.com/l/?uddg=https%3A%2F%2Fservices.india.gov.in%2Fservice%2Flisting%3Fln%3Den%26cat_id%3D63%26sort%3Dhit_count%2540desc%26page_no%3D2&rut=dca2703580960385991d8f3e195f6096d8907a49fbc0dc91f2f6dd706f33a14b
SCR_6137,services.india.gov.in/service/state_services?sd_id=959&ln=hi Scheme,Central,All,Social Welfare,Middle Class,All,1637.0,List of services of Gujarat गुजरात में 10वीं और 12वीं कक्षा के छात्र इस पोर्टल के माध्यम से अपने बोर्ड परीक्षा परिणाम ऑनलाइन देख सकते हैं। परिणाम आम तौर पर बोर्ड द्वारा ...,Benefits include assistance related to social welfare. Access information via the link.,Target beneficiaries: Middle Class. Details on official site.,//duckduckgo.com/l/?uddg=https%3A%2F%2Fservices.india.gov.in%2Fservice%2Fstate_services%3Fsd_id%3D959%26ln%3Dhi&rut=c6dc95ab477f39c09ef5503f3cd18aa6a31b1a59c107f9a8e42fc1fc45665261
SCR_2956,bajajgeneralinsurance.com Scheme,Central,All,Healthcare,Middle Class,All,256.0,Covers both OPD and IPD expenses reducing out-of-pocket costs at 18400+ cashless hospitals. Secure Your Health with Bajaj General Insurance starting at ₹15/Day* for flexible policies,Benefits include assistance related to healthcare. Access information via the link.,Target beneficiaries: Middle Class. Details on official site.,//duckduckgo.com/l/?uddg=https%3A%2F%2Fduckduckgo.com%2Fy.js%3Fad_domain%3Dbajajgeneralinsurance.com%26ad_provider%3Dbingv7aa%26ad_type%3Dtxad%26click_metadata%3DSSLTe13W_DA1W9smGlZebx7gQlmNnlPoLctcKlec130bJsCNEc6ZLGftOACurj_yUyg2QmJFmNmHI0U%252Dv%252DXhURGCqkEYhhbF_S99mHl8nkZG1XASgzw_A0g0DTHvCuLLX1THWNtiYoZpEAmXerz%252DBLPHkSx2vdF7fDQuPK8%252DPDA.aIpwxOD0783hpOydyXV0mg%26rut%3D74885cf7ac54df61e9d27042b40b766d76da02af02ff0b4e92eaeee8b8b2b032%26u3%3Dhttps%253A%252F%252Fwww.bing.com%252Faclick%253Fld%253De8h1oFnn0IaxED3dOg5w6BUzVUCUwG0h1qSadUAzM_7CfPOidLnNjkBvEyUCv5%252D3j3V%252DIRlMMGj5PRSEVN75MqEYYiuLh97hkjelSZCWMvdDMKNy%252DdZUHkGbgDNQkcd6iSq8w0okTI1LQhCfzcQksyOJYBMfHWTtDImknI2K_23znUG%252DNah9CPNEjUR8Dx7Mft91lY6vjmadFFcMcuIt_E66l_cQQ%2526u%253DaHR0cHMlM2ElMmYlMmZ3d3cuYmFqYWpnZW5lcmFsaW5zdXJhbmNlLmNvbSUyZmhlYWx0aC1pbnN1cmFuY2Utb25saW5lJTJmcHJvZHVjdCUzZmdjbHNyYyUzZDNwLmRzJTI2JTI2dXRtX3NvdXJjZSUzZEJpbmdHZW5lcmljJTI2dXRtX21lZGl1bSUzZCU3YmFkZ3JvdXBuYW1lJTdkJTI2dXRtX2NhbXBhaWduJTNkQmluZ19HZW5lcmljX0hlYWx0aCUyNmRldmljZSUzZGMlMjZtc2Nsa2lkJTNkOGU4NmE4MjcwMjQ0MTkxZTE2MTZjMjBkN2NiY2NhN2I%2526rlid%253D8e86a8270244191e1616c20d7cbcca7b%26vqd%3D4%2D169244699915085220358118034710236203241%26iurl%3D%257B1%257DIG%253D0110465B4528491AAC7AE95A1B86D1DE%2526CID%253D0C19389F357B69F621142FEA341968C3%2526ID%253DDevEx%252C5038.1&rut=0c105b86564bcf2d72573169b80f849dacc93b2590902e690f35ab480b830b9f
SCR_9621,services.india.gov.in/service/detail/check Scheme,Central,All,Healthcare,Middle Class,All,3921.0,"The Pradhan Mantri Jan Arogya Yojana (PM-JAY) beneficiary login portal allows individuals to check their eligibility for the Ayushman Bharat health scheme. By logging in with a mobile number, users can verify their beneficiary status, access their Ayushman Card, and avail benefits like free hospitalization at empanelled hospitals.",Benefits include assistance related to healthcare. Access information via the link.,Target beneficiaries: Middle Class. Details on official site.,//duckduckgo.com/l/?uddg=https%3A%2F%2Fservices.india.gov.in%2Fservice%2Fdetail%2Fcheck%2Dstate%2Dwise%2Dstatus%2Dof%2Drashtriya%2Dswasthya%2Dbima%2Dyojana%2D1&rut=102fa70ff15ed095e5cefe87e5a921b025823947e1cc36b4f57fa9ba24de8191
SCR_4441,services.india.gov.in/service/detail/gujarat Scheme,Central,All,Healthcare,Middle Class,All,4441.0,"Gujarat Government has taken an initiative to invite citizens to interact with the government departments online. Citizens have to specify name, email, and the department that the citizen wishes to interact with.",Benefits include assistance related to healthcare. Access information via the link.,Target beneficiaries: Middle Class. Details on official site.,//duckduckgo.com/l/?uddg=https%3A%2F%2Fservices.india.gov.in%2Fservice%2Fdetail%2Fgujarat%2Dfinancial%2Dassistanceloan%2Dscheme%2Dfor%2Dmbbsbsam%2Dmbds%2Ddental%2Dand%2Dhomeopathic%2Ddegree%2Dholder%2Ddoctors%2Dof%2Dscheduled%2Dcaste%2D1&rut=9e58cb4e7304b176fc8a122f51d997ed4169476567863d81e9f4c8eeb56099d9
